date,channel,impressions,spend
24-09-2024,Email,8770,2375.52
24-09-2024,SMS,2672,2033.75
24-09-2024,Email,3941,4020.69
23-09-2024,Email,1870,3625.54
23-09-2024,SMS,6279,3383.74
23-09-2024,App,1917,1361.17
23-09-2024,SMS,7180,3655.57
23-09-2024,App,8002,3438.57
23-09-2024,SMS,3121,2406.7
23-09-2024,Social Media,4203,4541.76
23-09-2024,SMS,4908,4547.06
23-09-2024,SMS,3882,1151.86
22-09-2024,SMS,8425,3613.06
22-09-2024,Email,4040,2744.24
22-09-2024,Social Media,8964,3280.91
22-09-2024,App,5322,1382.87
22-09-2024,SMS,2897,3796.89
22-09-2024,Social Media,2701,1069.15
22-09-2024,Email,6100,1659.16
22-09-2024,Social Media,7438,1325.64
22-09-2024,Social Media,7990,1533.45
21-09-2024,SMS,2557,2291.66
21-09-2024,Social Media,2556,1560.45
21-09-2024,SMS,3124,4212.47
21-09-2024,App,2439,1263.49
21-09-2024,Email,6475,2740.75
21-09-2024,Social Media,1260,4991
21-09-2024,Social Media,2503,2992.57
21-09-2024,Social Media,5937,3542.77
21-09-2024,App,8121,1336.94
20-09-2024,Email,3762,1804.49
20-09-2024,App,1075,3712.83
20-09-2024,Email,4880,1049.48
20-09-2024,Social Media,2673,4653.31
20-09-2024,SMS,3717,2581.56
20-09-2024,App,2525,4471.69
20-09-2024,SMS,2232,1165.33
20-09-2024,App,8471,3566.89
20-09-2024,App,4249,2137.97
19-09-2024,Email,4768,4900.81
19-09-2024,Social Media,6332,2003.25
19-09-2024,Social Media,5992,2239.56
19-09-2024,App,9980,3854.33
19-09-2024,App,2380,3572
19-09-2024,App,4528,1484.54
19-09-2024,Email,3543,3446.31
19-09-2024,Social Media,3188,4526.22
19-09-2024,App,9627,3389.34
18-09-2024,Social Media,9268,4147.19
18-09-2024,Email,1925,3785.26
18-09-2024,Email,7353,1974.98
18-09-2024,Social Media,6711,3546.51
18-09-2024,Email,2454,2979.57
18-09-2024,App,7869,4562.91
18-09-2024,SMS,2229,1037.53
18-09-2024,SMS,5410,2346.65
18-09-2024,App,3646,1417.46
17-09-2024,Social Media,5499,3002.92
17-09-2024,App,3415,4807.34
17-09-2024,SMS,2993,1668.78
17-09-2024,SMS,6986,3764.01
17-09-2024,SMS,6311,4722.04
17-09-2024,App,6998,3344.54
17-09-2024,Social Media,1896,3476.78
17-09-2024,Social Media,9836,4083.69
17-09-2024,Social Media,6893,3961.37
16-09-2024,Social Media,2554,3398.43
16-09-2024,SMS,3032,4537.04
16-09-2024,App,2966,4368.28
16-09-2024,Email,3104,3771.94
16-09-2024,Social Media,4651,4511.18
16-09-2024,SMS,8567,4114.66
16-09-2024,SMS,2287,4649.78
16-09-2024,App,5040,4494.56
16-09-2024,Email,3890,1096.3
15-09-2024,Social Media,9309,3901.76
15-09-2024,SMS,7745,2566.25
15-09-2024,SMS,5986,2308.55
15-09-2024,SMS,6016,1291.54
15-09-2024,Social Media,7171,3620.22
15-09-2024,Email,6581,4185.84
15-09-2024,Email,7205,1052.25
15-09-2024,Social Media,4954,2423.63
15-09-2024,SMS,7195,1933.06
14-09-2024,App,3515,3819.45
14-09-2024,Email,7732,2173.02
14-09-2024,SMS,9327,1184.78
14-09-2024,Email,3996,4662.11
14-09-2024,SMS,5959,1930.88
14-09-2024,SMS,7815,1452.62
14-09-2024,App,2364,4344.97
14-09-2024,App,1955,4987.68
14-09-2024,App,2446,2058.06
13-09-2024,SMS,8492,2485.5
13-09-2024,Email,4954,2291.92
13-09-2024,App,3597,2493.48
13-09-2024,Email,2954,2847.36
13-09-2024,Social Media,8446,3036.29
13-09-2024,Social Media,3858,3110.86
13-09-2024,SMS,7095,2503.85
13-09-2024,App,9965,1068.06
13-09-2024,Email,2101,1680.65
12-09-2024,Social Media,4909,4694.99
12-09-2024,SMS,6087,1398.83
12-09-2024,App,9162,4483.26
12-09-2024,App,8906,4847.74
12-09-2024,Social Media,9296,4975.13
12-09-2024,SMS,4649,1285.75
12-09-2024,App,4671,2436.42
12-09-2024,SMS,4020,3362.31
12-09-2024,Email,7376,2530.85
11-09-2024,Email,5141,4286.56
11-09-2024,App,4480,3670.66
11-09-2024,App,4599,3419.35
11-09-2024,SMS,5025,4178.33
11-09-2024,SMS,1032,2471.49
11-09-2024,SMS,4840,1833.61
11-09-2024,App,9616,4932.48
11-09-2024,Social Media,2475,3298.03
11-09-2024,App,6592,1113.34
10-09-2024,Social Media,3402,4301.06
10-09-2024,SMS,9549,2562.95
10-09-2024,Social Media,8906,4494.13
10-09-2024,Social Media,9911,4084.51
10-09-2024,SMS,5021,1323.48
10-09-2024,Social Media,8182,1806.74
10-09-2024,App,8616,1237.11
10-09-2024,Social Media,4076,4004.88
10-09-2024,App,4172,1139.8
09-09-2024,App,7447,4306.67
09-09-2024,SMS,8883,2100.99
09-09-2024,Email,7081,4735.99
09-09-2024,SMS,6473,2685.99
09-09-2024,Email,3148,1348.31
09-09-2024,Social Media,9516,3822.96
09-09-2024,Social Media,3429,3390.47
09-09-2024,App,3669,4864.35
09-09-2024,Social Media,1825,3070.4
08-09-2024,SMS,6787,2589.07
08-09-2024,Email,8135,4992.36
08-09-2024,Social Media,2547,1559.86
08-09-2024,SMS,2852,4869.73
08-09-2024,App,7136,1337.14
08-09-2024,App,7445,3476.88
08-09-2024,SMS,4536,1998.68
08-09-2024,SMS,3673,3885.23
08-09-2024,SMS,6368,2067
07-09-2024,Email,9978,2561.04
07-09-2024,Email,7764,3709.35
07-09-2024,Email,1403,3885.11
07-09-2024,App,8884,4028.68
07-09-2024,Email,8648,2725.14
07-09-2024,App,2034,3570.22
07-09-2024,Email,7132,4210.77
07-09-2024,Email,8529,3281.36
07-09-2024,SMS,4411,3518.03
06-09-2024,App,5308,2954.25
06-09-2024,Social Media,4228,3566.79
06-09-2024,App,7582,4429.24
06-09-2024,SMS,6071,1217.42
06-09-2024,App,2109,1056.46
06-09-2024,Email,3019,3136.9
06-09-2024,App,7909,2366.84
06-09-2024,Social Media,5661,3992.05
06-09-2024,Social Media,5821,2942.04
05-09-2024,Social Media,3107,1300.18
05-09-2024,Social Media,4043,2677.1
05-09-2024,SMS,5935,4424.8
05-09-2024,Email,3317,2821.14
05-09-2024,App,1228,3107.35
05-09-2024,Social Media,6007,2240.78
05-09-2024,SMS,7524,1359.09
05-09-2024,Email,7417,1233.05
05-09-2024,App,1394,1608.06
04-09-2024,App,6459,3403.46
04-09-2024,Email,4519,4355.17
04-09-2024,Social Media,7553,2622.89
04-09-2024,Social Media,1753,3222.65
04-09-2024,Social Media,7693,4094.6
04-09-2024,SMS,7618,1987.68
04-09-2024,Social Media,7457,3735.31
04-09-2024,App,4655,3350.61
04-09-2024,Social Media,5909,4380.53
03-09-2024,SMS,1800,3868.25
03-09-2024,Email,8856,2097.23
03-09-2024,App,3167,3052.4
03-09-2024,Email,4667,4767.46
03-09-2024,Email,9368,3166.02
03-09-2024,Email,1801,1838.08
03-09-2024,SMS,5199,2522.37
03-09-2024,Social Media,8272,3752.3
03-09-2024,Social Media,6446,2623.22
02-09-2024,App,8913,3563.71
02-09-2024,Email,3442,4869.53
02-09-2024,Social Media,6944,4600.23
02-09-2024,Email,9286,4678.69
02-09-2024,Social Media,4393,3692.83
02-09-2024,Email,4702,2940.73
02-09-2024,SMS,7209,4212.55
02-09-2024,App,4094,4519.23
02-09-2024,Email,8164,1969.59
01-09-2024,Social Media,1422,4238.34
01-09-2024,Email,2164,2353.05
01-09-2024,Social Media,8700,2673.2
01-09-2024,App,8909,3493.19
01-09-2024,App,4875,2046.73
01-09-2024,SMS,7368,4101.73
01-09-2024,App,6810,1844.63
01-09-2024,App,5648,2432.33
01-09-2024,Email,7053,4843.93
31-08-2024,SMS,6198,3305.56
31-08-2024,Social Media,8359,1039.08
31-08-2024,Email,9146,1124.49
31-08-2024,Email,6510,4842.73
31-08-2024,Email,9482,4083.54
31-08-2024,App,2915,3758
31-08-2024,SMS,5523,1092.09
31-08-2024,App,9583,4198.7
31-08-2024,SMS,2284,3494.49
30-08-2024,App,4669,4396.4
30-08-2024,Email,7983,3247.33
30-08-2024,SMS,8965,2144.45
30-08-2024,Social Media,6432,3232.09
30-08-2024,Social Media,5700,4132.36
30-08-2024,App,2565,4959.67
30-08-2024,Social Media,5720,2380.07
30-08-2024,Social Media,9463,1709.36
30-08-2024,Social Media,3326,1621.38
29-08-2024,App,5479,2111.78
29-08-2024,Social Media,3101,2507.26
29-08-2024,App,3533,1250.71
29-08-2024,Social Media,8702,2710.84
29-08-2024,Email,3334,3179.73
29-08-2024,App,2945,2394.67
29-08-2024,Email,9581,2550.54
29-08-2024,App,9065,3967.19
29-08-2024,Email,8368,2215.08
28-08-2024,Social Media,6236,1731.08
28-08-2024,SMS,3845,3576.19
28-08-2024,Email,6260,4906.43
28-08-2024,Email,9389,3591.5
28-08-2024,Email,9294,4134.06
28-08-2024,Social Media,5214,3484.05
28-08-2024,SMS,6307,1798.32
28-08-2024,App,2864,4677.7
28-08-2024,SMS,6496,2903.65
27-08-2024,Social Media,3093,3554.17
27-08-2024,SMS,4391,1227.47
27-08-2024,SMS,1800,4981.39
27-08-2024,App,5652,4147.33
27-08-2024,Social Media,7705,2509.56
27-08-2024,App,1273,2093.15
27-08-2024,SMS,3973,2188.12
27-08-2024,Email,3972,4831.74
27-08-2024,Social Media,5858,2687.45
26-08-2024,App,5146,2536.68
26-08-2024,App,4273,3909.24
26-08-2024,App,4551,2272.7
26-08-2024,Social Media,3665,1299.03
26-08-2024,SMS,2895,4700.08
26-08-2024,Social Media,1081,2083.5
26-08-2024,Social Media,9492,2228.51
26-08-2024,SMS,1673,2285.82
26-08-2024,Email,4754,2813.13
25-08-2024,App,7793,4221.53
25-08-2024,Social Media,4303,3544.24
25-08-2024,Email,6169,3100.54
25-08-2024,Social Media,2083,3018.5
25-08-2024,Email,3563,2371.45
25-08-2024,App,1189,2554.76
25-08-2024,Email,9760,1543.32
25-08-2024,Email,8094,1047.19
25-08-2024,Email,2480,3641.18
24-08-2024,SMS,8814,4948.12
24-08-2024,Email,6351,1795.71
24-08-2024,Email,2624,2470.27
24-08-2024,App,2780,2319.67
24-08-2024,App,5242,1680.27
24-08-2024,App,7657,1678.27
24-08-2024,Email,3989,1339.93
24-08-2024,Social Media,9209,4637.81
24-08-2024,App,1403,3792.42
23-08-2024,Email,9044,2419.76
23-08-2024,Social Media,6738,2683.84
23-08-2024,Social Media,7323,2738
23-08-2024,Social Media,7196,3064.54
23-08-2024,Email,7801,4400.05
23-08-2024,App,6000,1802.4
23-08-2024,Social Media,3042,4897.47
23-08-2024,Email,2911,3573.55
23-08-2024,Email,6262,4026.13
22-08-2024,Social Media,6188,2648.08
22-08-2024,Social Media,5255,3283.04
22-08-2024,Social Media,5031,3439.36
22-08-2024,Email,8711,2239.55
22-08-2024,Email,4617,1529.18
22-08-2024,Email,1587,3963.66
22-08-2024,Social Media,3887,2882.64
22-08-2024,Email,4812,1151.52
22-08-2024,App,9760,1993.79
21-08-2024,Social Media,3997,4506.06
21-08-2024,Social Media,1911,3355.16
21-08-2024,SMS,1017,1097.9
21-08-2024,Social Media,6952,2882.36
21-08-2024,SMS,9138,4831.86
21-08-2024,Email,3456,2940.5
21-08-2024,App,1254,1877.51
21-08-2024,Social Media,3825,2206.95
21-08-2024,Email,6929,2279.44
20-08-2024,Email,2314,3316.6
20-08-2024,SMS,4131,3114.93
20-08-2024,Social Media,3478,1245.46
20-08-2024,App,5250,3036.32
20-08-2024,App,2018,1872.63
20-08-2024,SMS,8100,1790.86
20-08-2024,SMS,6864,3701.18
20-08-2024,Social Media,9847,2377.72
20-08-2024,Social Media,4991,2636.96
19-08-2024,Email,1695,4890.05
19-08-2024,SMS,4649,3637.97
19-08-2024,Social Media,3235,2047.7
19-08-2024,Social Media,9745,1245.98
19-08-2024,Social Media,7031,1850.67
19-08-2024,Email,5109,1921.9
19-08-2024,SMS,2693,2435.35
19-08-2024,SMS,8042,3420.16
19-08-2024,Email,6442,3211.44
18-08-2024,Email,8630,4773.79
18-08-2024,Email,2270,3626.83
18-08-2024,Email,9612,2067.79
18-08-2024,SMS,6409,2019.68
18-08-2024,SMS,7769,2417.86
18-08-2024,Social Media,2526,2633.52
18-08-2024,Social Media,3225,2012.46
18-08-2024,SMS,2333,4899.52
18-08-2024,SMS,7890,3761.84
17-08-2024,SMS,7746,4497.43
17-08-2024,SMS,3752,2833.54
17-08-2024,Email,1785,4548.31
17-08-2024,SMS,8772,1110.2
17-08-2024,Social Media,1484,3474.26
17-08-2024,SMS,3954,2906.44
17-08-2024,SMS,8650,1391.03
17-08-2024,Social Media,8492,3799.69
17-08-2024,App,8545,3006.08
16-08-2024,App,2300,3960.94
16-08-2024,Email,8695,1619.3
16-08-2024,App,4664,4788.16
16-08-2024,Email,2510,2284
16-08-2024,SMS,1633,4643.51
16-08-2024,SMS,3870,1014.91
16-08-2024,Social Media,4044,4957.13
16-08-2024,App,8605,1401.29
16-08-2024,Email,4976,1090.23
15-08-2024,App,3083,1672.44
15-08-2024,App,6731,4181.21
15-08-2024,Social Media,4762,4042.22
15-08-2024,Social Media,5152,1398.81
15-08-2024,Email,5792,1508.71
15-08-2024,SMS,2604,3993.12
15-08-2024,App,2357,2693.79
15-08-2024,Email,6964,2175.87
15-08-2024,Social Media,6094,3780.03
14-08-2024,Email,3562,2188.31
14-08-2024,Email,6818,3922.65
14-08-2024,App,8104,1024.47
14-08-2024,Social Media,5163,4990.83
14-08-2024,SMS,1287,1630.81
14-08-2024,Social Media,1556,2359.71
14-08-2024,Email,6278,1668.33
14-08-2024,App,6510,3836.38
14-08-2024,App,8953,3978.77
13-08-2024,SMS,5636,4337.02
